CompanyName,MarketCap,EmployeesTotalAmount
BASF SE,Saudi Basic Industries Corp,"108,718"
Sempra Energy,"Dominion Energy, Inc.","15,390"
Occidental Petroleum Corporation,ConocoPhillips,"11,678"
"Liberty Bancshares, Inc. (OH)",JPMorgan,NAN
Fast Retailing Co. Ltd,"Industria de Diseño Textil, SA","55,589"
NXP Semiconductors N.V.,Nvidia,"31,000"
"Xilinx, Inc.",Nvidia,"4,890"
ITOCHU Corp,Jardine Strategic Holdings Limited,"125,944"
Eni S.p.A.,Aramco,"31,495"
Stellantis N.V.,Tesla,"281,595"
BCE Inc.,Verizon,"49,781"
DENSO Corp,Aptiv PLC,"168,391"
Toyota,Tesla,"371,365"
"L3Harris Technologies, Inc.",Raytheon Technologies,"47,000"
"AgriBank, FCB",Visa,NAN
General Accident plc,Chubb Limited,NAN
Archer-Daniels-Midland Company,"Tyson Foods, Inc.","39,218"
"American Electric Power Company, Inc.",NextEra Energy,"16,688"
Fortescue Metals Group Limited,BHP,"10,232"
Hon Hai Precision Industry Co. Ltd,Amphenol Corporation,NAN
China Tourism Group Duty Free Corp Ltd,Booking Holdings Inc.,"14,217"
Ecolab Inc.,Linde,"47,000"
Novatek PJSC,ConocoPhillips,NAN
"Synopsys, Inc.",Microsoft,"16,361"
Safran SA,Raytheon Technologies,"77,008"
"Illumina, Inc.",Thermo Fisher Scientific,"9,800"
"MercadoLibre, Inc.",Amazon,"29,957"
"Roper Technologies, Inc.",Honeywell,"19,300"
The Kraft Heinz Company,Foshan Haitian Flavouring and Food Company Ltd,"36,000"
Centene Corporation,UnitedHealth Group,"72,500"
"Paychex, Inc.","Automatic Data Processing, Inc.","15,000"
"Honda Motor Co., Ltd.",Tesla,"211,374"
Hitachi Ltd,Jardine Strategic Holdings Limited,"350,864"
Scentre Group,"Simon Property Group, Inc.","2,780"
"MediaTek, Inc.",Nvidia,NAN
Lululemon Athletica Inc.,"Industria de Diseño Textil, SA","25,000"
Dow Inc.,Saudi Basic Industries Corp,"35,700"
Rosneft Oil Co PJSC,Aramco,NAN
McKesson Corporation,AmerisourceBergen Corporation,"59,000"
Suncor Energy Inc.,Aramco,"16,922"
"VMware, Inc.",Microsoft,"34,000"
Johnson Controls International plc,Vinci SA,"101,000"
"O'Reilly Automotive, Inc.","AutoZone, Inc.","82,852"
Grupo Mexico SAB de CV,BHP,"29,707"
"CrowdStrike Holdings, Inc.",Microsoft,"4,965"
Naspers Ltd,Alphabet,"28,445"
"Autodesk, Inc.",Salesforce,"12,600"
"Prudential Financial, Inc.",Ping An Insurance,"40,916"
Open Joint Stock Company OMZ,Honeywell,NAN
Cognizant Technology Solutions Corporation,Accenture,"330,600"
Nucor Corporation,ArcelorMittal,"28,800"
"DexCom, Inc.",Thermo Fisher Scientific,"6,300"
Banco Bradesco SA,JPMorgan,"85,264"
Nidec Corp,Honeywell,758
adidas AG,Nike,"53,870"
Sika AG,Linde,"26,272"
"Baidu, Inc.",Alphabet,"45,500"
Takeda Pharmaceutical Company Limited,MERCK Kommanditgesellschaft auf Aktien,"47,099"
The Hershey Company,"Mondelez International, Inc.","16,620"
Amphenol Corporation,Hon Hai Precision Industry Co. Ltd,"90,000"
Vanjia Corp,"D.R. Horton, Inc.",NAN
Vodafone Group plc,Verizon,"105,000"
"IDEXX Laboratories, Inc.",Thermo Fisher Scientific,"10,350"
"The Travelers Companies, Inc.",Chubb Limited,"30,184"
Infineon Technologies AG,Nvidia,"50,280"
"Constellation Brands, Inc.",Kweichow Moutai,"9,300"
"Datadog, Inc.",Salesforce,"3,200"
Mitsui & Co. Ltd,ConocoPhillips,"44,509"
Saudi Arabian Mining Company,BHP,NAN
PJSC Lukoil,Aramco,"101,374"
Intesa Sanpaolo S.p.A.,JPMorgan,"78,000"
TE Connectivity Ltd.,Hon Hai Precision Industry Co. Ltd,"85,000"
"AutoZone, Inc.","O'Reilly Automotive, Inc.","65,100"
IQVIA Holdings Inc.,Thermo Fisher Scientific,"79,000"
Cintas Corporation,Global Payments Inc.,"40,000"
"Cadence Design Systems, Inc.",Salesforce,"9,300"
"Chipotle Mexican Grill, Inc.",McDonald's,"97,660"
"Sumitomo Mitsui Financial Group, Inc.",JPMorgan,"86,800"
"Samsung Biologics Co.,Ltd.",Novo Nordisk,"3,247"
Wipro Limited,Accenture,"220,000"
Zijin Mining Group Co Ltd,Newmont Corporation,"43,876"
HP Inc.,Dell Technologies Inc.,"51,000"
Lloyds Banking Group plc,JPMorgan,"57,955"
"Simon Property Group, Inc.",Scentre Group,"2,400"
Aflac Incorporated,Ping An Insurance,"12,447"
Barrick Gold Corporation,Newmont Corporation,"18,421"
Murata Manufacturing Co. Ltd,Hon Hai Precision Industry Co. Ltd,"77,398"
"Kinder Morgan, Inc.",Enbridge Inc.,"10,529"
Kimberly-Clark Corporation,Procter & Gamble,"45,000"
Xiaomi Corp,Apple,"33,427"
Wesfarmers Limited,Home Depot,"122,000"
"Republic Services, Inc.","Waste Management, Inc.","35,000"
HOYA Corp,EssilorLuxottica SA,"37,245"
Yihai Kerry Arawana Holdings Co. Ltd,Foshan Haitian Flavouring and Food Company Ltd,"34,389"
Monster Beverage Corporation,Coca-Cola,"3,458"
LONGi Green Energy Technology Co. Ltd,ASML,"46,631"
"Corteva, Inc.",Nutrien Ltd.,"21,000"
"General Mills, Inc.",Foshan Haitian Flavouring and Food Company Ltd,"35,000"
Seven & i Holdings Co. Ltd,The Kroger Co.,"58,975"
DSV PANALPINA A-S,UPS,"77,958"
