CompanyName,MarketCap,EmployeesTotalAmount
Banco Santander (Brasil) SA,NAN,"48,834"
Mitsubishi Electric Corporation,NAN,"145,653"
"MongoDB, Inc.",NAN,"2,539"
Laboratory Corporation of America Holdings,NAN,"67,950"
"The Hartford Financial Services Group, Inc.",NAN,"18,100"
EnBW Energie Baden-Wuerttemberg AG,NAN,"24,519"
Li Auto Inc.,NAN,"11,901"
Central Japan Railway Co,NAN,"30,153"
"Telefónica, SA",NAN,"104,150"
Roblox Corp,NAN,"1,600"
Sandvik AB,NAN,"44,133"
Vonovia SE,NAN,"16,051"
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,NAN,"3,103"
Evolution Gaming Group AB,NAN,"8,987"
Bridgestone Corp,NAN,"138,036"
"Zimmer Biomet Holdings, Inc.",NAN,"19,500"
Aier Eye Hospital Group Co. Ltd,NAN,"22,808"
Shaanxi Coal Industry Company Ltd,NAN,"36,344"
"ANSYS, Inc.",NAN,"5,100"
Chocoladefabriken Lindt & Sprüngli AG,NAN,"14,000"
Tractor Supply Company,NAN,"22,000"
Fubon Financial Holding Co. Ltd,NAN,"44,461"
Gazprom Neft PJSC,NAN,NAN
"Interactive Brokers Group, Inc.",NAN,"2,571"
Will Semiconductor Co. Ltd,NAN,"3,291"
Ganfeng Lithium Co. Ltd,NAN,"5,533"
NTT Data Corp,NAN,"139,677"
"McCormick & Company, Incorporated",NAN,"14,000"
KONE Oyj,NAN,"62,720"
NARI Technology Co. Ltd,NAN,"8,806"
"W.W. Grainger, Inc.",NAN,"22,700"
"D.R. Horton, Inc.",NAN,"11,788"
Sartorius,NAN,"13,832"
Extra Space Storage Inc.,NAN,"4,309"
Sampo Oyj,NAN,"13,340"
"CaixaBank, SA",NAN,"49,607"
ON Semiconductor Corporation,NAN,"30,000"
Wolters Kluwer N.V.,NAN,"19,454"
Edison International,NAN,"13,003"
Swiss Re AG,NAN,"13,985"
Thai Beverage Public Company Ltd,NAN,NAN
Great-West Lifeco Inc.,NAN,"28,000"
Koninklijke Philips N.V.,NAN,"78,189"
First Republic Bank,NAN,"6,295"
SVB Financial Group,NAN,"6,567"
COSCO SHIPPING Holdings Co Ltd,NAN,"29,379"
RWE AG,NAN,"18,902"
Las Vegas Sands Corp.,NAN,"44,500"
Tongwei Co. Ltd,NAN,"25,549"
Rogers Communications Inc.,NAN,"23,000"
EDF,NAN,"163,423"
"Amadeus IT Group, SA",NAN,"15,936"
"Astellas Pharma, Inc.",NAN,"15,455"
"Keysight Technologies, Inc.",NAN,"14,300"
Ball Corporation,NAN,"24,300"
Saudi Electricity Company,NAN,NAN
Weyerhaeuser Company,NAN,"9,214"
"Nasdaq, Inc.",NAN,"5,814"
Spotify Technology SA,NAN,"6,617"
"Copart, Inc.",NAN,"8,600"
Cathay Financial Holding Co. Ltd,NAN,"57,347"
