CompanyName,MarketCap,EmployeesTotalAmount
Cathay Financial Holding Co. Ltd,29.58,NAN
"Copart, Inc.",29.58,NAN
Spotify Technology SA,29.56,NAN
"Nasdaq, Inc.",29.52,NAN
Weyerhaeuser Company,29.42,NAN
Saudi Electricity Company,29.42,NAN
Ball Corporation,29.40,NAN
"Keysight Technologies, Inc.",29.40,NAN
"Astellas Pharma, Inc.",29.22,NAN
"Amadeus IT Group, SA",29.19,NAN
Electricité de France SA,29.17,NAN
Rogers Communications Inc.,29.13,NAN
Tongwei Co. Ltd,29.10,NAN
Las Vegas Sands Corp.,29.07,NAN
RWE AG,29.06,NAN
COSCO SHIPPING Holdings Co Ltd,28.93,NAN
SVB Financial Group,28.91,NAN
CSX Corporation,28.90,NAN
Techtronic Industries Company Ltd,28.75,NAN
"Naturgy Energy Group, SA",28.71,NAN
APA Group,28.55,NAN
Hormel Foods Corporation,28.52,NAN
Cerner Corporation,28.31,NAN
Ashtead Group plc,28.28,NAN
Equifax Inc.,28.24,NAN
Semiconductor Manufacturing International Corp,28.24,NAN
Porsche Automobil Holding SE,28.15,NAN
Tesco plc,28.11,NAN
Sirius XM Holdings Inc.,28.05,NAN
Airports of Thailand Public Company Ltd,28.00,NAN
CK Hutchison Holdings Ltd,27.94,NAN
The People's Insurance Company (Group) of China Ltd,27.93,NAN
"Expedia Group, Inc.",27.91,NAN
First Republic Bank,27.90,NAN
Koninklijke Philips N.V.,27.89,NAN
Great-West Lifeco Inc.,27.85,NAN
Thai Beverage Public Company Ltd,27.81,NAN
Swiss Re AG,27.80,NAN
Edison International,27.67,NAN
Wolters Kluwer N.V.,27.65,NAN
ON Semiconductor Corporation,27.63,NAN
"CaixaBank, SA",27.58,NAN
Sampo Oyj,27.46,NAN
Extra Space Storage Inc.,27.37,NAN
Sartorius AG,27.35,NAN
"D.R. Horton, Inc.",27.34,NAN
"W.W. Grainger, Inc.",27.33,NAN
NARI Technology Co. Ltd,27.33,NAN
KONE Oyj,27.29,NAN
"McCormick & Company, Incorporated",27.29,NAN
NTT Data Corp,27.26,NAN
Ganfeng Lithium Co. Ltd,27.25,NAN
Will Semiconductor Co. Ltd,27.24,NAN
"Interactive Brokers Group, Inc.",27.22,NAN
Gazprom Neft PJSC,27.14,NAN
Fubon Financial Holding Co. Ltd,27.13,NAN
Tractor Supply Company,27.09,NAN
Chocoladefabriken Lindt & Sprüngli AG,27.08,NAN
"ANSYS, Inc.",26.98,NAN
Shaanxi Coal Industry Company Ltd,26.95,NAN
Aier Eye Hospital Group Co. Ltd,26.95,NAN
"Zimmer Biomet Holdings, Inc.",26.94,NAN
Bridgestone Corp,26.88,NAN
Evolution Gaming Group AB,26.82,NAN
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,26.80,NAN
Vonovia SE,26.78,NAN
