CompanyName,MarketCap,EmployeesTotalAmount
hikma pharmaceuticals,6.713,8578
somfy sa,6.707,NAN
bkw ag,6.698,10500
banque cantonale vaudoise,6.694,1896
cpi property group,6.679,4353
ascendis pharma a/s,6.653,482
eurazeo se,6.650,270
pepco group n.v.,6.630,NAN
dechra pharmaceuticals,6.583,1753
tecan group,6.579,2050
ald sa,6.567,NAN
helvetia holding ag,6.563,11687
rexel,6.540,24000
fraport ag,6.540,22514
f&c investment trust,6.537,NAN
asr nederland,6.512,3934
ackermans & van haaren nv,6.501,NAN
signify,6.405,37926
easyjet,6.405,14000
orpea sa,6.390,NAN
valmet oyj,6.381,NAN
sweco ab (publ),6.300,NAN
financiere de l'odet sa,6.295,NAN
nvent electric,6.287,8800
proximus,6.257,11423
itv,6.253,6273
emmi ag,6.250,NAN
be semiconductor industries,6.240,1618
weir group,6.227,13500
pearson plc,6.163,32000
goodyear tire & rubber company,6.160,62000
ambu a/s,6.160,3500
imi,6.143,10776
vgp nv,6.140,NAN
thule group ab (publ),6.088,NAN
tritax big box reit,6.005,NAN
l'occitane international,6.002,9000
nordic semiconductor asa,5.965,767
hera,5.945,NAN
enagas,5.942,361
kongsberg gruppen asa,5.914,NAN
alten sa,5.890,NAN
centrica,5.883,26932
unite group,5.868,1400
kojamo oyj,5.868,296
axfood ab (publ),5.860,NAN
scout24 ag,5.857,1530
telekom austria ag,5.840,18153
future,5.838,NAN
schaeffler ag,5.797,87700
scor se,5.772,2945
rit capital partners,5.768,NAN
a2a,5.764,12978
addtech ab (publ.),5.762,3000
tui ag,5.759,48330
lanxess,5.741,14866
curevac,5.739,500
ubisoft entertainment sa,5.737,18045
oci,5.729,3147
lechwerke ag,5.718,NAN
flughafen zurich ag,5.709,NAN
wallenstam ab (publ),5.699,NAN
acron,5.695,NAN
jcdecaux sa,5.691,10234
orion oyj,5.691,3337
etn. fr. colruyt nv,5.674,NAN
shurgard self storage,5.622,751
royal unibrew a/s,5.599,2631
medicover ab (publ),5.588,NAN
icade,5.569,NAN
psp swiss property ag,5.568,NAN
ardagh metal packaging s.a.,5.566,16400
fuchs petrolub se,5.545,5600
hochtief,5.534,46644
bawag group ag,5.528,4353
synlab ag,5.504,NAN
spectris,5.499,8450
aak ab (publ.),5.494,3978
gelsenwasser ag,5.467,1595
perrigo company,5.447,11500
diploma plc,5.433,NAN
nokian renkaat oyj,5.432,NAN
bellway,5.418,2889
johnson matthey,5.417,15352
fielmann,5.416,22245
lotus bakeries nv,5.406,2155
sfs group ag,5.387,10692
cyfrowy polsat,5.384,NAN
frasers group,5.365,19962
alk-abello a/s,5.340,NAN
italgas,5.308,NAN
evn ag,5.294,7428
de'longhi,5.283,8607
dksh holding,5.280,NAN
mimecast,5.271,1800
avanza bank holding ab (publ),5.258,450
direct line insurance group,5.255,10762
wendel,5.249,NAN
convatec group,5.225,9400
greek organization of football prognostics,5.217,1503
fomento de construcciones y contratas,5.196,NAN
fabege ab (publ),5.181,NAN
andritz ag,5.179,28400
crispr therapeutics ag,5.178,410
powszechny zaklad ubezpieczen sa,5.174,43310
derwent london,5.170,NAN
topdanmark a/s,5.159,NAN
varta ag,5.157,4800
cd projekt,5.140,1111
mbank,5.132,NAN
bucher industries ag,5.125,NAN
jungheinrich,5.122,18019
merlin properties socimi,5.116,218
marel,5.115,NAN
inpost s.a.,5.059,NAN
cofinimmo sa,5.057,NAN
dr. martens plc,5.053,NAN
richter gedeon vegyeszeti gyar nyilvanosan mukodo,5.027,NAN
inmobiliaria colonial socimi,4.990,200
vontobel holding ag,4.977,2094
deliveroo plc,4.970,2300
securitas ab,4.958,355000
bankinter,4.948,8668
storebrand asa,4.933,2200
glanbia,4.922,7385
h. lundbeck a/s,4.912,5806
banca generali,4.897,72644
bb biotech ag,4.894,NAN
atotech ltd,4.893,3862
atos se,4.881,110000
sportradar,4.875,2300
banco bpm societa per azioni,4.854,22000
ig group holdings,4.853,NAN
travis perkins,4.829,30000
dufry ag,4.824,NAN
1&1 ag,4.804,3163
dermapharm holding se,4.799,NAN
brembo,4.780,NAN
harbour energy plc,4.767,NAN
stevanato group s.p.a.,4.757,NAN
abcam,4.752,1492
netcompany group a/s,4.738,NAN
leroy seafood group asa,4.736,NAN
colas sa,4.729,NAN
inchcape,4.728,17300
polar capital technology trust,4.725,NAN
hexpol ab (publ),4.723,NAN
oatly group ab,4.722,792
melexis nv,4.710,1449
brunello cucinelli,4.697,2127
elekta ab (publ),4.686,NAN
watches of switzerland group,4.686,NAN
sophos group,4.675,3500
