CompanyName,MarketCap,EmployeesTotalAmount
ITOCHU CORPORATION,45.880,128146
APTIV,45.844,151000
KRAFT HEINZ COMPANY,45.718,36000
DIGITAL REALTY TRUST,45.707,3030
DEXCOM,45.698,7000
MSCI,45.511,4303
"COUPANG, INC.",45.485,50000
MICROCHIP TECHNOLOGY,45.461,19500
STMICROELECTRONICS,45.434,48254
DOORDASH,45.377,8600
AMERICAN ELECTRIC POWER COMPANY,45.072,16688
FORTESCUE METALS GROUP,45.032,10164
CHIPOTLE MEXICAN GRILL,44.955,97660
TRAFIGURA,NAN,8619
TRANE TECHNOLOGIES PLC,44.959,37000
LINKEDIN,NAN,18000
CARRIER GLOBAL,44.924,58000
DATADOG,44.865,3200
CENTENE CORPORATION,44.545,72500
JARDINE MATHESON HOLDINGS,44.512,403000
DELL TECHNOLOGIES,44.298,158000
LG CHEM,44.149,12561
SEMPRA ENERGY,44.136,4537
PT BANK RAKYAT INDONESIA (PERSERO) TBK,44.008,61531
T. ROWE PRICE GROUP,43.910,7529
AGILENT TECHNOLOGIES,43.835,17000
BAXTER INTERNATIONAL,43.786,60000
DOW Inc,43.711,35700
MARATHON PETROLEUM CORPORATION,43.664,17700
WUXI BIOLOGICS (CAYMAN),43.633,5544
GLOBAL PAYMENTS,43.581,25000
COSCO SHIPPING HOLDINGS,43.536,26852
PRUDENTIAL FINANCIAL,43.391,40916
JARDINE STRATEGIC HOLDINGS,NAN,464000
CROWDSTRIKE HOLDINGS,43.343,3394
HAIER SMART HOME,43.245,99299
SMC CORPORATION,43.223,21456
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT,43.178,39642
NU HOLDINGS LTD.,43.137,NAN
ALIGN TECHNOLOGY,43.132,22540
L3HARRIS TECHNOLOGIES,43.124,47000
DUPONT DE NEMOURS,43.101,28000
TAKEDA PHARMACEUTICAL COMPANY,43.085,47000
SVB FINANCIAL GROUP,43.027,6567
VODAFONE GROUP,43.005,105000
SPOTIFY TECHNOLOGY,42.828,6617
EXPERIAN,42.818,17800
MOTOROLA SOLUTIONS,42.655,18700
REPUBLIC SERVICES,42.418,35000
HILTON WORLDWIDE HOLDINGS,42.366,142000
ALIMENTATION COUCHE-TARD,42.170,131000
NAVER CORPORATION,42.080,4076
Z HOLDINGS CORPORATION,41.968,12874
VONOVIA SE,41.881,10622
HP INC,41.847,51000
FIAT CHRYSLER AUTOMOBILES,NAN,191752
PARKER-HANNIFIN CORPORATION,41.605,54640
BANCO BILBAO VIZCAYA ARGENTARIA,41.592,110432
AUTOZONE,41.574,100000
EBAY,41.517,10800
APOLLO GLOBAL MANAGEMENT,41.376,2153
GENERAL MILLS,41.362,35000
SYSCO CORPORATION,41.248,58000
CINTAS CORPORATION,41.226,40000
FANUC CORPORATION,41.129,8256
AFLAC,41.121,12447
COMPASS GROUP,41.111,478070
AVENUE SUPERMARTS,41.071,1567
TWILIO,41.051,7867
CRH PLC,41.041,79200
HYUNDAI MOTOR COMPANY,41.028,71504
TOKIO MARINE HOLDINGS,40.964,41101
THE TRAVELERS COMPANIES,40.897,30800
DANONE,40.795,101911
DAIICHI SANKYO COMPANY,40.765,16033
AMBEV,40.762,50479
BANK OF NINGBO,40.667,17337
KKR & CO,40.658,3238
HEXAGON AB (PUBL),40.645,20532
PARTNERS GROUP HOLDING AG,40.541,1519
REALTY INCOME CORPORATION,40.401,371
THE HERSHEY COMPANY,40.346,18990
INNER MONGOLIA YILI INDUSTRIAL GROUP,40.246,59052
XPENG MOTORS,40.178,3676
SHANGHAI PUDONG DEVELOPMENT BANK,40.062,58200
PPG INDUSTRIES,39.815,27500
ARISTA NETWORKS,39.789,2993
ALCON,39.766,23655
YUM! BRANDS,39.676,36000
NUTRIEN,39.458,23100
CHINA VANKE,39.431,140565
OVERSEA-CHINESE BANKING CORPORATION,39.365,30538
MANULIFE FINANCIAL CORPORATION,39.261,37000
KINDER MORGAN,39.159,10529
NESTE OYJ,39.108,4825
SEVEN & I HOLDINGS,39.103,138808
MITSUI & CO.,39.069,44509
ARCHER-DANIELS-MIDLAND COMPANY,39.055,41000
ALEXION PHARMACEUTICALS,39.000,3837
ITAU UNIBANCO HOLDING,38.924,96500
JIANGSU YANGHE BREWERY JOINT-STOCK,38.888,15026
CAPGEMINI SE,38.876,289501
SUNCOR ENERGY,38.699,12591
SARTORIUS STEDIM BIOTECH,38.531,9016
CHINA PACIFIC INSURANCE GROUP (CPIC),38.512,111247
COMPAGNIE DE SAINT-GOBAIN,38.477,167552
KUEHNE + NAGEL INTERNATIONAL AG,38.466,78249
FERGUSON,38.468,34352
OLD DOMINION FREIGHT LINE,38.253,23663
WELLTOWER,38.230,464
MCKESSON CORPORATION,38.134,76000
WILL SEMICONDUCTOR,38.113,33300
ROCKWELL AUTOMATION,38.038,24500
KBC GROUP NV,38.016,33916
THE TRADE DESK,37.941,1967
"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD.",37.936,37
BAJAJ FINSERV,37.855,26969
SBA COMMUNICATIONS CORPORATION,37.846,1596
SAIC MOTOR CORPORATION,37.824,204815
BOC HONG KONG,37.817,14915
NATWEST GROUP,37.790,59900
KUAISHOU TECHNOLOCY,37.733,NAN
ERICSSON,37.525,101322
ANTA SPORTS PRODUCTS,37.360,41000
ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL. LTD,37.278,NAN
ELECTRONIC ARTS,37.268,11000
XCEL ENERGY,37.223,11321
GREE ELECTRIC APPLIANCES,37.202,88846
DSM,37.187,23127
STATE STREET CORPORATION,37.170,39000
BLOOMBERG LP,NAN,24315
HANG SENG BANK,37.157,10000
ROSS STORES,37.096,93700
INNOGY SE,NAN,34523
EDF (ELECTRICITE DE FRANCE),37.063,20477
DISCOVER FINANCIAL SERVICES,36.837,196159
FOXCONN INDUSTRIAL INTERNET,36.825,803126
KONE OYJ,36.770,61380
ASHTEAD GROUP,36.701,19386
ZIJIN MINING GROUP COMPANY,36.681,36860
DNB ASA,36.683,9200
ZSCALER,36.636,3153
FIRST REPUBLIC BANK,36.585,6295
JAPAN POST BANK,36.472,245472
ENGIE,36.436,171000
BUDWEISER BREWING COMPANY APAC,36.332,28546
KAKAO,36.166,2837
INTERNATIONAL FLAVORS & FRAGRANCES,36.138,3400
TRANSDIGM GROUP,36.144,13300
OTIS WORLDWIDE CORPORATION,36.128,70000
ALLSTATE CORPORATION,36.107,54700
ITC,36.019,36500
CONSTELLATION SOFTWARE,35.941,20500
PHILLIPS 66,35.915,14000
HENKEL AG,35.831,52600
LARSEN & TOUBRO,35.832,45268
JAPAN TOBACCO,35.814,58300
UNICREDIT,35.779,90836
AMERIPRISE FINANCIAL,35.730,12000
NOKIA CORPORATION,35.653,87927
VEEVA SYSTEMS,35.592,4506
MATCH GROUP,35.462,2540
METTLER-TOLEDO INTERNATIONAL,35.453,17800
KROGER,35.381,465000
CORTEVA,35.294,21000
SANDVIK AB,35.192,37125
UNITY SOFTWARE INC.,35.180,5245
TELSTRA CORPORATION,35.122,27015
SAMSUNG SDI,35.109,11107
CBRE GROUP,35.066,105000
AHOLD DELHAIZE,35.061,232000
UNITED OVERSEAS BANK,34.996,24346
SUN HUNG KAI PROPERTIES,34.960,39500
E.ON SE,34.939,78126
FASTENAL COMPANY,34.872,20507
AVALONBAY COMMUNITIES,34.777,3090
BANCO BRADESCO,34.592,89575
RESMED,34.570,7970
COLOPLAST A/S,34.558,12568
GRUPO MEXICO,34.469,30263
TECHTRONIC INDUSTRIES COMPANY,34.454,51426
CLOUDFLARE,34.427,2440
KEYSIGHT TECHNOLOGIES,34.412,14300
ANHUI CONCH CEMENT COMPANY,34.358,47486
ARTHUR J. GALLAGHER,34.275,39000
CELLNEX TELECOM,34.194,2877
BIOGEN,34.167,9610
MIZUHO FINANCIAL GROUP,34.091,69801
WILLIAMS COMPANIES,34.033,4783
WASTE CONNECTIONS,33.931,18933
D.R. HORTON,33.923,11788
PUBLIC SERVICE ENTERPRISE GROUP,33.879,12684
MTR CORPORATION,33.745,34209
SYDNEY AIRPORT,33.715,596
EQUITY RESIDENTIAL,33.620,2400
FORMOSA PETROCHEMICAL CORPORATION,33.553,13977
CUMMINS,33.520,59900
ALEXANDRIA REAL ESTATE EQUITIES,33.412,559
FIFTH THIRD BANCORP,33.306,19112
VERISK ANALYTICS,33.304,9367
ASSA ABLOY AB (PUBL),33.270,48000
PHILIPS,33.230,81592
ASSICURAZIONI GENERALI,33.226,72644
PALANTIR TECHNOLOGIES,33.200,2733
VALERO ENERGY CORPORATION,33.116,9964
DEVON ENERGY CORPORATION,33.099,1600
CHINA RESOURCES LAND,33.094,38087
TYSON FOODS,33.044,137000
SANY HEAVY INDUSTRY CO. LTD,33.017,24586
AMETEK,32.936,18500
PTT PUBLIC COMPANY,32.878,10875
SUN LIFE FINANCIAL,32.868,24589
AIER EYE HOSPITAL GROUP,32.810,36000
CARVANA,32.804,10400
GOODMAN GROUP,32.737,1000
NUCOR CORPORATION,32.707,28800
NASPERS,32.699,28445
EQUIFAX,32.629,12700
CHUNGHWA TELECOM,32.559,32218
WOOLWORTHS GROUP,32.511,215000
