CompanyName,MarketCap,EmployeesTotalAmount
Marathon Oil Corporation,19.54,"1,531"
"Huatai Securities Co., Ltd.",19.55,"7,375"
China Tower Corp Ltd,19.55,"20,500"
"Akamai Technologies, Inc.",19.59,"8,700"
Shanghai Fosun Pharmaceutical,19.63,"32,258"
"Bill.com Holdings, Inc.",19.65,"1,384"
Henderson Land Development Co Ltd,19.67,"10,059"
CGI Inc.,19.67,"82,000"
Shiseido Co Ltd,19.69,"39,035"
Brookfield Infrastructure Partners L.P.,19.70,NAN
Renesas Electronics Corp,19.73,"18,612"
Kerry Group plc,19.74,"22,000"
"Hologic, Inc.",19.75,"6,705"
Ryanair Holdings plc,19.78,"17,000"
Standard Bank Group Ltd,19.82,"49,224"
Aviva plc,19.82,"22,000"
China Communications Construction Co Ltd,19.83,"133,294"
China Resources Beer (Holdings) Company Ltd,19.84,"25,000"
"Teradyne, Inc.",19.85,"5,900"
Kao Corp,19.85,"33,409"
Klabin SA,19.86,NAN
"Paycom Software, Inc.",19.87,"5,385"
Vedanta Limited,19.93,"17,047"
Trina Solar Co. Ltd,19.94,"18,645"
Tradeweb Markets Inc.,19.98,"1,046"
"Sun Communities, Inc.",19.98,"4,948"
Hannover Rück SE,20.02,"3,346"
"PerkinElmer, Inc.",20.05,"16,700"
Norsk Hydro ASA,20.10,"31,264"
"Principal Financial Group, Inc.",20.13,"18,600"
Imperial Brands plc,20.14,"30,300"
CTBC Financial Holding Co. Ltd,20.15,"21,159"
China Railway Group Ltd,20.15,"288,729"
Telenor ASA,20.15,"18,000"
Swiss Life Holding AG,20.16,"8,623"
The People's Insurance Company (Group) of China Ltd,27.93,"193,494"
CK Hutchison Holdings Ltd,27.94,"172,907"
Airports of Thailand Public Company Ltd,28.00,NAN
Sirius XM Holdings Inc.,28.05,"5,590"
Porsche Automobil Holding SE,28.15,888
Semiconductor Manufacturing International Corp,28.24,"17,354"
Tesco plc,28.11,"360,000"
Equifax Inc.,28.24,"12,700"
Ashtead Group plc,28.28,"21,033"
Cerner Corporation,28.31,"25,150"
Hormel Foods Corporation,28.52,"20,000"
APA Group,28.55,"2,000"
"Naturgy Energy Group, SA",28.71,"7,231"
Techtronic Industries Company Ltd,28.75,"51,426"
CSX Corporation,28.90,"20,900"
SVB Financial Group,28.91,"6,567"
COSCO SHIPPING Holdings Co Ltd,28.93,"29,379"
RWE AG,29.06,"18,902"
Las Vegas Sands Corp.,29.07,"44,500"
Tongwei Co. Ltd,29.10,"25,549"
Rogers Communications Inc.,29.13,"23,000"
Electricité de France SA,29.17,"163,423"
"Amadeus IT Group, SA",29.19,"15,936"
"Astellas Pharma, Inc.",29.22,"15,455"
"Keysight Technologies, Inc.",29.40,"14,300"
Ball Corporation,29.40,"24,300"
Saudi Electricity Company,29.42,NAN
Weyerhaeuser Company,29.42,"9,214"
"Nasdaq, Inc.",29.52,"5,814"
Spotify Technology SA,29.56,"6,617"
"Copart, Inc.",29.58,"8,600"
Cathay Financial Holding Co. Ltd,29.58,"57,347"
UniCredit S.p.A.,29.65,"80,879"
KBC Group NV,29.81,"33,916"
"Match Group, Inc.",29.82,"2,500"
Willis Towers Watson plc,29.85,"46,000"
Riyad Bank,29.86,"5,660"
Vestas Wind Systems A-S,29.93,"29,427"
Cummins Inc.,29.94,"59,900"
ASSA ABLOY AB,30.05,"51,000"
"Alexandria Real Estate Equities, Inc.",30.10,559
Compagnie de Saint-Gobain SA,30.16,"167,816"
"West Pharmaceutical Services, Inc.",30.23,"10,065"
Fujitsu Ltd,30.28,"126,371"
"American Water Works Company, Inc.",30.43,"6,400"
"CBRE Group, Inc.",30.45,"105,000"
Fifth Third Bancorp,30.46,"19,112"
BAE Systems plc,30.51,"89,600"
Ferguson plc,30.52,"31,000"
"Shimano, Inc.",21.51,"12,244"
"Contura Energy, Inc.",21.57,936
"B3 S.A. - Brasil, Bolsa, Balcao",21.58,NAN
Teledyne Technologies Incorporated,21.65,"14,500"
KeyCorp,21.71,"17,654"
M&T Bank Corporation,21.74,"17,115"
"Dai-ichi Life Holdings, Inc.",21.76,"64,823"
"Ulta Beauty, Inc.",21.82,"16,000"
Zebra Technologies Corporation,21.87,"9,800"
"Monolithic Power Systems, Inc.",21.87,"2,773"
Restaurant Brands International Limited Partnership,21.89,"5,700"
Duke Realty Corporation,21.93,340
Huntington Bancshares Incorporated,21.93,"18,442"
CNH Industrial N.V.,21.93,"71,895"
NIBE Industrier AB,21.93,"20,400"
"CF Industries Holdings, Inc.",21.95,"2,970"
Cincinnati Financial Corporation,21.99,"5,166"
Toyota Industries Corp,21.99,"66,947"
Geberit AG,22.03,"11,149"
ZTO Express (Cayman) Inc.,22.05,"22,536"
Unicharm Corp,22.08,"16,665"
XP Inc.,22.16,"3,000"
"Skyworks Solutions, Inc.",22.17,"11,000"
CRRC Corp Ltd,22.21,"164,177"
"Continental Resources, Inc.",22.25,"1,254"
"Huntington Bancshares, Inc.",22.26,"18,442"
"Fomento Económico Mexicano, S.A.B. de C.V.",22.28,"320,808"
